"keys","tr"
,
"font_desc_fantasque","Jany Belluz yapımı,nasılsa kaprisli bir monospace fontu."
"font_desc_hack","Kaynak kodu için tasarlanmış okunulurluğa odaklanmış bir ofis fontu,\n. Yapan, Source Foundry Authors."
"font_desc_inconsolata","Inconsolata fontunun (aslen Raph Levien yapımı)\n Yunan ve Kiril harfleri eklenmiş bir çeşidi."
"font_desc_pt","Harika Kiril tipografisiyle oluşturulmuş, ParaType yapımı bir daktilo fontu."
"font_desc_ubuntu","Canonical yapımı,oldukça farklı bir tarza sahip bir font.\nadını veren Linux dağıtımı (Ubuntu) için tasarlandı.

"font_desc_consolas","A bold variant of Consolas, a monospace font
designed by Lucas de Groot for Microsoft."
"font_desc_whiterabbit","A square monospace font inspired by science fiction
computer displays, by Matthew Welch."
